Words,L1,L2,L3,L4,L5
AARGH,A,A,R,G,H
ABACA,A,B,A,C,A
ABACI,A,B,A,C,I
ABACK,A,B,A,C,K
ABAFT,A,B,A,F,T
ABASE,A,B,A,S,E
ABASH,A,B,A,S,H
ABATE,A,B,A,T,E
ABBEY,A,B,B,E,Y
ABBOT,A,B,B,O,T
ABEAM,A,B,E,A,M
ABEND,A,B,E,N,D
ABETS,A,B,E,T,S
ABHOR,A,B,H,O,R
ABIDE,A,B,I,D,E
ABLED,A,B,L,E,D
ABLER,A,B,L,E,R
ABODE,A,B,O,D,E
ABORT,A,B,O,R,T
ABOUT,A,B,O,U,T
ABOVE,A,B,O,V,E
ABSIT,A,B,S,I,T
ABUSE,A,B,U,S,E
ABUTS,A,B,U,T,S
ABUZZ,A,B,U,Z,Z
ABYSS,A,B,Y,S,S
ACHED,A,C,H,E,D
ACHES,A,C,H,E,S
ACHOO,A,C,H,O,O
ACIDS,A,C,I,D,S
ACING,A,C,I,N,G
ACKED,A,C,K,E,D
ACMES,A,C,M,E,S
ACNED,A,C,N,E,D
ACNES,A,C,N,E,S
ACORN,A,C,O,R,N
ACRES,A,C,R,E,S
ACRID,A,C,R,I,D
ACTED,A,C,T,E,D
ACTIN,A,C,T,I,N
ACTOR,A,C,T,O,R
ACUTE,A,C,U,T,E
ADAGE,A,D,A,G,E
ADAPT,A,D,A,P,T
ADDED,A,D,D,E,D
ADDER,A,D,D,E,R
ADDLE,A,D,D,L,E
ADEPT,A,D,E,P,T
ADIEU,A,D,I,E,U
ADIOS,A,D,I,O,S
ADLIB,A,D,L,I,B
ADMAN,A,D,M,A,N
ADMEN,A,D,M,E,N
ADMIT,A,D,M,I,T
ADMIX,A,D,M,I,X
ADOBE,A,D,O,B,E
ADOPT,A,D,O,P,T
ADORE,A,D,O,R,E
ADORN,A,D,O,R,N
ADULT,A,D,U,L,T
ADZES,A,D,Z,E,S
AEGIS,A,E,G,I,S
AERIE,A,E,R,I,E
AFFIX,A,F,F,I,X
AFIRE,A,F,I,R,E
AFOOT,A,F,O,O,T
AFORE,A,F,O,R,E
AFOUL,A,F,O,U,L
AFTER,A,F,T,E,R
AGAIN,A,G,A,I,N
AGAPE,A,G,A,P,E
AGARS,A,G,A,R,S
AGATE,A,G,A,T,E
AGAVE,A,G,A,V,E
AGENT,A,G,E,N,T
AGILE,A,G,I,L,E
AGING,A,G,I,N,G
AGLEY,A,G,L,E,Y
AGLOW,A,G,L,O,W
AGONE,A,G,O,N,E
AGONY,A,G,O,N,Y
AGORA,A,G,O,R,A
AGREE,A,G,R,E,E
AGUES,A,G,U,E,S
AHEAD,A,H,E,A,D
AHHHH,A,H,H,H,H
AHOLD,A,H,O,L,D
AHOYS,A,H,O,Y,S
AIDED,A,I,D,E,D
AIDER,A,I,D,E,R
AIDES,A,I,D,E,S
AILED,A,I,L,E,D
AIMED,A,I,M,E,D
AIMER,A,I,M,E,R
AIOLI,A,I,O,L,I
AIRED,A,I,R,E,D
AIRER,A,I,R,E,R
AISLE,A,I,S,L,E
AITCH,A,I,T,C,H
AJUGA,A,J,U,G,A
ALACK,A,L,A,C,K
ALARM,A,L,A,R,M
ALBUM,A,L,B,U,M
ALDER,A,L,D,E,R
ALECK,A,L,E,C,K
ALEPH,A,L,E,P,H
ALERT,A,L,E,R,T
ALGAE,A,L,G,A,E
ALGAL,A,L,G,A,L
ALGIN,A,L,G,I,N
ALIAS,A,L,I,A,S
ALIBI,A,L,I,B,I
ALIEN,A,L,I,E,N
ALIGN,A,L,I,G,N
ALIKE,A,L,I,K,E
ALIVE,A,L,I,V,E
ALKYD,A,L,K,Y,D
ALKYL,A,L,K,Y,L
ALLAY,A,L,L,A,Y
ALLEY,A,L,L,E,Y
ALLOT,A,L,L,O,T
ALLOW,A,L,L,O,W
ALLOY,A,L,L,O,Y
ALOES,A,L,O,E,S
ALOFT,A,L,O,F,T
ALOHA,A,L,O,H,A
ALONE,A,L,O,N,E
ALONG,A,L,O,N,G
ALOOF,A,L,O,O,F
ALOUD,A,L,O,U,D
ALPHA,A,L,P,H,A
ALTAR,A,L,T,A,R
ALTER,A,L,T,E,R
ALTHO,A,L,T,H,O
ALTOS,A,L,T,O,S
ALUMS,A,L,U,M,S
ALWAY,A,L,W,A,Y
AMAHS,A,M,A,H,S
AMASS,A,M,A,S,S
AMAZE,A,M,A,Z,E
AMBER,A,M,B,E,R
AMBIT,A,M,B,I,T
AMBLE,A,M,B,L,E
AMEBA,A,M,E,B,A
AMEND,A,M,E,N,D
AMENS,A,M,E,N,S
AMIDE,A,M,I,D,E
AMIGO,A,M,I,G,O
AMINE,A,M,I,N,E
AMINO,A,M,I,N,O
AMISS,A,M,I,S,S
AMITY,A,M,I,T,Y
AMMOS,A,M,M,O,S
AMONG,A,M,O,N,G
AMOUR,A,M,O,U,R
AMPED,A,M,P,E,D
AMPLE,A,M,P,L,E
AMPLY,A,M,P,L,Y
AMUCK,A,M,U,C,K
AMUSE,A,M,U,S,E
AMYLS,A,M,Y,L,S
ANDED,A,N,D,E,D
ANENT,A,N,E,N,T
ANGEL,A,N,G,E,L
ANGER,A,N,G,E,R
ANGLE,A,N,G,L,E
ANGRY,A,N,G,R,Y
ANGST,A,N,G,S,T
ANILE,A,N,I,L,E
ANIMA,A,N,I,M,A
ANION,A,N,I,O,N
ANISE,A,N,I,S,E
ANKHS,A,N,K,H,S
ANKLE,A,N,K,L,E
ANNAS,A,N,N,A,S
ANNEX,A,N,N,E,X
ANNOY,A,N,N,O,Y
ANNUL,A,N,N,U,L
ANNUM,A,N,N,U,M
ANODE,A,N,O,D,E
ANOLE,A,N,O,L,E
ANTED,A,N,T,E,D
ANTES,A,N,T,E,S
ANTIC,A,N,T,I,C
ANTIS,A,N,T,I,S
ANTSY,A,N,T,S,Y
ANVIL,A,N,V,I,L
AORTA,A,O,R,T,A
APACE,A,P,A,C,E
APART,A,P,A,R,T
APERS,A,P,E,R,S
APHID,A,P,H,I,D
APHIS,A,P,H,I,S
APIAN,A,P,I,A,N
APING,A,P,I,N,G
APISH,A,P,I,S,H
APNEA,A,P,N,E,A
APORT,A,P,O,R,T
APPLE,A,P,P,L,E
APPLY,A,P,P,L,Y
APRON,A,P,R,O,N
APSES,A,P,S,E,S
APSOS,A,P,S,O,S
APTLY,A,P,T,L,Y
AQUAE,A,Q,U,A,E
AQUAS,A,Q,U,A,S
ARBOR,A,R,B,O,R
ARCED,A,R,C,E,D
ARDOR,A,R,D,O,R
AREAL,A,R,E,A,L
AREAS,A,R,E,A,S
ARENA,A,R,E,N,A
ARGON,A,R,G,O,N
ARGOT,A,R,G,O,T
ARGUE,A,R,G,U,E
ARIAS,A,R,I,A,S
ARISE,A,R,I,S,E
ARITY,A,R,I,T,Y
ARMED,A,R,M,E,D
ARMOR,A,R,M,O,R
AROMA,A,R,O,M,A
AROSE,A,R,O,S,E
ARRAS,A,R,R,A,S
ARRAY,A,R,R,A,Y
ARROW,A,R,R,O,W
ARSES,A,R,S,E,S
ARSON,A,R,S,O,N
ARTSY,A,R,T,S,Y
ARUMS,A,R,U,M,S
ASANA,A,S,A,N,A
ASCOT,A,S,C,O,T
ASHEN,A,S,H,E,N
ASHES,A,S,H,E,S
ASIDE,A,S,I,D,E
ASKED,A,S,K,E,D
ASKER,A,S,K,E,R
ASKEW,A,S,K,E,W
ASPEN,A,S,P,E,N
ASPIC,A,S,P,I,C
ASSAI,A,S,S,A,I
ASSAY,A,S,S,A,Y
ASSED,A,S,S,E,D
